Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,
1930,Group 1,France,4,1,Mexico, ,
1930,Group 4,USA,3,0,Belgium, ,
1930,Group 2,Yugoslavia,2,1,Brazil, ,
1930,Group 3,Romania,3,1,Peru, ,
1930,Group 1,Argentina,1,0,France, ,
1930,Group 1,Chile,3,0,Mexico, ,
1930,Group 2,Yugoslavia,4,0,Bolivia, ,
1930,Group 4,USA,3,0,Paraguay, ,
1930,Group 3,Uruguay,1,0,Peru, ,
1930,Group 1,Chile,1,0,France, ,
1930,Group 1,Argentina,6,3,Mexico, ,
1930,Group 2,Brazil,4,0,Bolivia, ,
1930,Group 4,Paraguay,1,0,Belgium, ,
1930,Group 3,Uruguay,4,0,Romania, ,
1930,Group 1,Argentina,3,1,Chile, ,
1930,Semi-finals,Argentina,6,1,USA, ,
1930,Semi-finals,Uruguay,6,1,Yugoslavia, ,
1930,Final,Uruguay,4,2,Argentina, ,
1934,Preliminary round,Austria,3,2,France,Austria win after extra time ,
1934,Preliminary round,Hungary,4,2,Egypt, ,
1934,Preliminary round,Switzerland,3,2,Netherlands, ,
1934,Preliminary round,Sweden,3,2,Argentina, ,
1934,Preliminary round,Germany,5,2,Belgium, ,
1934,Preliminary round,Spain,3,1,Brazil, ,
1934,Preliminary round,Italy,7,1,USA, ,
1934,Preliminary round,Czechoslovakia,2,1,Romania, ,
1934,Quarter-finals,Czechoslovakia,3,2,Switzerland, ,
1934,Quarter-finals,Germany,2,1,Sweden, ,
1934,Quarter-finals,Italy,1,1,Spain, ,
1934,Quarter-finals,Austria,2,1,Hungary, ,
1934,Quarter-finals,Italy,1,0,Spain, ,
1934,Semi-finals,Italy,1,0,Austria, ,
1934,Semi-finals,Czechoslovakia,3,1,Germany, ,
1934,Match for third place,Germany,3,2,Austria, ,
1934,Final,Italy,2,1,Czechoslovakia,Italy win after extra time ,
1938,First round,Switzerland,1,1,Germany, ,
1938,First round,Hungary,6,0,Dutch East Indies, ,
1938,First round,France,3,1,Belgium, ,
1938,First round,Cuba,3,3,Romania, ,
1938,First round,Italy,2,1,Norway,Italy win after extra time ,
1938,First round,Brazil,6,5,Poland,Brazil win after extra time ,
1938,First round,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,
1938,First round,Cuba,2,1,Romania, ,
1938,First round,Switzerland,4,2,Germany, ,
1938,Quarter-finals,Brazil,1,1,Czechoslovakia, ,
1938,Quarter-finals,Hungary,2,0,Switzerland, ,
1938,Quarter-finals,Sweden,8,0,Cuba, ,
1938,Quarter-finals,Italy,3,1,France, ,
1938,Quarter-finals,Brazil,2,1,Czechoslovakia, ,
1938,Semi-finals,Hungary,5,1,Sweden, ,
1938,Semi-finals,Italy,2,1,Brazil, ,
1938,Match for third place,Brazil,4,2,Sweden, ,
1938,Final,Italy,4,2,Hungary, ,
1950,Group 1,Brazil,4,0,Mexico, ,
1950,Group 2,England,2,0,Chile, ,
1950,Group 2,Spain,3,1,USA, ,
1950,Group 3,Sweden,3,2,Italy, ,
1950,Group 1,Yugoslavia,3,0,Switzerland, ,
1950,Group 1,Brazil,2,2,Switzerland, ,
1950,Group 1,Yugoslavia,4,1,Mexico, ,
1950,Group 2,Spain,2,0,Chile, ,
1950,Group 3,Sweden,2,2,Paraguay, ,
1950,Group 2,USA,1,0,England, ,
1950,Group 1,Brazil,2,0,Yugoslavia, ,
1950,Group 2,Spain,1,0,England, ,
1950,Group 3,Italy,2,0,Paraguay, ,
1950,Group 4,Uruguay,8,0,Bolivia, ,
1950,Group 1,Switzerland,2,1,Mexico, ,
1950,Group 2,Chile,5,2,USA, ,
1950,Group 6,Uruguay,2,2,Spain, ,
1950,Group 6,Brazil,7,1,Sweden, ,
1950,Group 6,Brazil,6,1,Spain, ,
1950,Group 6,Uruguay,3,2,Sweden, ,
1950,Group 6,Sweden,3,1,Spain, ,
1950,Group 6,Uruguay,2,1,Brazil, ,
1954,Group 3,Uruguay,2,0,Czechoslovakia, ,
1954,Group 3,Austria,1,0,Scotland, ,
1954,Group 1,Brazil,5,0,Mexico, ,
1954,Group 1,Yugoslavia,1,0,France, ,
1954,Group 2,Germany FR,4,1,Turkey, ,
